Date,ZINC,TIN,STEEL,NICKEL,MOLYBDENUM,LEAD,COBALT,COPPER,ALUMINIUM
2013-02-21,2086.25,23125,265,16762.5,24500,2400.5,25350,8196.75,2046.75
2013-02-22,2084.75,23292.5,270,16740,24500,2395.25,25250,8075.25,2024.25
2013-02-25,2082.5,23302.5,260,16707.5,24500,2373.5,25400,8069.5,2003.75
2013-02-26,2071.75,23162.5,250,16512.5,24200,2363.75,25350,8009.25,1970.75
2013-02-27,2083.75,23600,245,16707.5,24200,2314.5,25350,7847.25,1971.5
2013-02-28,2065.25,23532.5,240,16657.5,24200,2320.75,25350,7822.5,1959.75
2013-03-01,2001.5,23042.5,240,16422.5,24200,2306.25,25525,7865.25,1914.25
2013-03-04,1991.25,23347.5,215,16537.5,24200,2279.5,25500,7784.5,1926.75
2013-03-05,1983.75,23522.5,220,16502.5,24200,2310.5,25500,7830.75,1942.75
2013-03-06,1971.75,23467.5,225,16572.5,24200,2287.25,25500,7826.5,1927.5
2013-03-07,1962.75,23517.5,225,16512.5,24200,2219.5,25375,7620.25,1910.25
2013-03-08,1969.5,23747.5,217.5,16557.5,24000,2234.75,25150,7750.5,1926.75
2013-03-11,1916.25,23602.5,217.5,16647.5,24200,2206.5,25275,7717.5,1895.25
2013-03-12,1975,23822.5,220,16967.5,23950,2201,25250,7699.25,1938.75
2013-03-13,1978.5,23892.5,215,17062.5,24000,2166.5,25237.5,7670.75,1945.25
2013-03-14,1953.5,23987.5,212.5,16982.5,24000,2194.75,25250,7729.75,1937.75
2013-03-15,1947.25,24002.5,240,17102.5,24000,2170.75,25250,7676,1943.5
2013-03-18,1896.25,23202.5,210,16552.5,24000,2218.75,25037.5,7814,1895.25
2013-03-19,1887.75,23297.5,210,16607.5,24000,2233.5,25362.5,7777.25,1902.25
2013-03-20,1900.75,23117.5,220,16722.5,24000,2234,25375,7761.75,1905.25
2013-03-21,1917.5,22692.5,207.5,16847.5,24000,2234.5,24900,7781.5,1901.5
2013-03-22,1912.75,22725,205,16825,24000,2164.25,25000,7555.25,1905.5
2013-03-25,1909.25,22992.5,200,16927.5,24000,2159.5,25150,7538,1898.25
2013-03-26,1912.25,22977.5,200,16947.5,24000,2162.75,25450,7574.25,1890.25
2013-03-27,1853.5,22552.5,160.5,16667.5,24000,2183.75,25475,7577.5,1867.25
2013-03-28,1870.25,23137.5,185.25,16537.5,24000,2163.25,25850,7617,1881.25
